playerID,GP,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,note,year
kerrjo01,75,2372,1105,0,0,913,167,0,0,0,207,1111,436,310,233,0,0,3,0,104,41,0,0,25,9,0,0,0,9,51,15,12,11,0,0,,1959
mantini01,10,71,21,0,0,6,9,0,0,0,8,39,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1959
bayloel01,73,3133,2538,0,0,1447,371,0,0,0,279,2166,931,863,676,0,0,12,0,540,457,0,0,183,55,0,0,0,44,352,170,142,117,0,0,,1960
embrywa01,79,2233,1137,0,0,864,127,0,0,0,286,1015,458,331,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1960
ferrybo01,79,1657,889,0,0,500,129,0,0,0,205,776,350,255,189,0,0,5,0,167,101,0,0,63,11,0,0,0,12,74,30,49,41,0,0,,1960
garmadi01,71,2238,1105,0,0,277,220,0,0,0,240,943,415,358,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1960
guarige01,25,209,79,0,0,71,5,0,0,0,28,94,38,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1960
halbrsw01,79,1131,386,0,0,550,31,0,0,0,262,463,155,140,76,0,0,8,0,172,62,0,0,83,12,0,0,0,21,72,24,20,14,0,0,,1960
hattove01,54,610,240,0,0,92,59,0,0,0,59,304,97,56,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1960
kerrjo01,79,2676,1056,0,0,951,199,0,0,0,230,1056,419,299,218,0,0,8,0,210,76,0,0,99,20,0,0,0,18,88,30,23,16,0,0,,1960
sandeto01,68,1084,363,0,0,385,44,0,0,0,131,352,148,100,67,0,0,10,0,216,89,0,0,84,7,0,0,0,42,75,37,24,15,0,0,,1960
westje01,79,2797,1389,0,0,611,333,0,0,0,213,1264,529,497,331,0,0,12,0,461,275,0,0,104,66,0,0,0,39,202,99,106,77,0,0,,1960
bayloel01,48,2129,1836,0,0,892,222,0,0,0,155,1588,680,631,476,0,0,13,0,571,502,0,0,230,47,0,0,0,45,425,186,168,130,0,0,,1961
embrywa01,75,2623,1484,0,0,977,182,0,0,0,286,1210,564,516,356,0,0,4,0,128,56,0,0,45,8,0,0,0,17,30,14,36,28,0,0,,1961
ferrybo01,80,1918,1108,0,0,503,145,0,0,0,199,939,411,422,286,0,0,9,0,156,100,0,0,41,13,0,0,0,20,81,37,43,26,0,0,,1961
guarige01,45,367,163,0,0,124,11,0,0,0,56,161,61,64,41,0,0,5,0,26,6,0,0,4,1,0,0,0,6,8,2,5,2,0,0,,1961
halbrsw01,64,908,400,0,0,399,33,0,0,0,179,422,152,151,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1961
hattove01,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1961
hattove01,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1961
kerrjo01,80,2767,1304,0,0,1176,243,0,0,0,272,1220,541,302,222,0,0,5,0,193,88,0,0,80,10,0,0,0,15,109,41,8,6,0,0,,1961
meschto01,80,2509,966,0,0,729,145,0,0,0,330,929,375,262,216,0,0,12,0,508,241,0,0,138,32,0,0,0,48,224,89,73,63,0,0,,1961
neumapa01,79,1365,477,0,0,194,176,0,0,0,203,401,172,172,133,0,0,5,0,124,28,0,0,17,14,0,0,0,13,29,12,6,4,0,0,,1961
sandeto01,80,2325,897,0,0,762,74,0,0,0,279,804,350,263,197,0,0,14,0,439,141,0,0,115,14,0,0,0,65,130,56,36,29,0,0,,1961
westje01,75,3087,2310,0,0,591,402,0,0,0,173,1795,799,926,712,0,0,13,0,557,409,0,0,88,57,0,0,0,38,310,144,150,121,0,0,,1961
bayloel01,80,3370,2719,0,0,1146,386,0,0,0,226,2273,1029,790,661,0,0,13,0,562,424,0,0,177,58,0,0,0,48,362,160,126,104,0,0,,1962
embrywa01,76,2511,1411,0,0,936,177,0,0,0,286,1165,534,514,343,0,0,12,0,394,201,0,0,162,16,0,0,0,55,169,76,74,49,0,0,,1962
ferrybo01,79,2479,1072,0,0,537,170,0,0,0,246,984,426,339,220,0,0,4,0,143,48,0,0,35,11,0,0,0,10,45,20,24,8,0,0,,1962
guarige01,11,83,26,0,0,14,2,0,0,0,5,38,11,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1962
havlijo01,80,2200,1140,0,0,534,179,0,0,0,189,1085,483,239,174,0,0,11,0,254,130,0,0,53,17,0,0,0,28,125,56,27,18,0,0,,1962
kerrjo01,80,2561,1255,0,0,1039,214,0,0,0,208,1069,507,320,241,0,0,5,0,187,68,0,0,75,9,0,0,0,12,60,26,21,16,0,0,,1962
mantini01,9,58,19,0,0,6,7,0,0,0,13,20,8,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1962
mantini01,33,626,196,0,0,79,75,0,0,0,81,224,86,40,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1962
meschto01,64,2245,1022,0,0,624,104,0,0,0,249,935,397,313,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1962
neumapa01,80,1581,655,0,0,200,227,0,0,0,221,503,237,222,181,0,0,4,0,65,16,0,0,14,9,0,0,0,11,18,8,1,0,0,0,,1962
sandeto01,80,2148,864,0,0,576,95,0,0,0,262,744,339,252,186,0,0,13,0,387,128,0,0,96,19,0,0,0,61,119,52,31,24,0,0,,1962
westje01,55,2163,1489,0,0,384,307,0,0,0,150,1213,559,477,371,0,0,13,0,538,362,0,0,106,61,0,0,0,34,286,144,100,74,0,0,,1962
wileyge01,75,1488,241,0,0,504,40,0,0,0,180,236,109,68,23,0,0,9,0,278,30,0,0,97,11,0,0,0,29,35,14,15,2,0,0,,1962
arnetja01,48,501,184,0,0,54,71,0,0,0,105,196,71,54,42,0,0,8,0,79,29,0,0,10,9,0,0,0,21,31,11,8,7,0,0,,1963
bayloel01,78,3164,1983,0,0,936,347,0,0,0,235,1778,756,586,471,0,0,5,0,221,121,0,0,58,28,0,0,0,17,119,45,40,31,0,0,,1963
embrywa01,80,2915,1383,0,0,925,113,0,0,0,325,1213,556,417,271,0,0,10,0,363,134,0,0,124,21,0,0,0,46,139,53,45,28,0,0,,1963
ferrybo01,74,1522,782,0,0,428,94,0,0,0,174,670,298,279,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1963
havlijo01,80,2587,1595,0,0,428,238,0,0,0,227,1535,640,422,315,0,0,10,0,289,157,0,0,43,32,0,0,0,26,159,61,44,35,0,0,,1963
kerrjo01,80,2938,1340,0,0,1017,275,0,0,0,187,1250,536,357,268,0,0,5,0,185,95,0,0,69,16,0,0,0,12,83,40,20,15,0,0,,1963
lucasje01,79,3273,1400,0,0,1375,204,0,0,0,300,1035,545,398,310,0,0,10,0,370,122,0,0,125,34,0,0,0,37,123,48,37,26,0,0,,1963
meschto01,80,2422,1079,0,0,612,149,0,0,0,288,951,436,295,207,0,0,12,0,405,202,0,0,87,21,0,0,0,37,181,80,54,42,0,0,,1963
neumapa01,74,1973,858,0,0,246,291,0,0,0,211,732,324,266,210,0,0,5,0,165,80,0,0,13,25,0,0,0,13,59,27,31,26,0,0,,1963
sandeto01,80,2370,911,0,0,667,102,0,0,0,277,836,349,280,213,0,0,10,0,302,91,0,0,71,6,0,0,0,45,94,34,34,23,0,0,,1963
westje01,72,2906,2064,0,0,433,403,0,0,0,200,1529,740,702,584,0,0,5,0,206,156,0,0,36,17,0,0,0,20,115,57,53,42,0,0,,1963
wileyge01,78,1510,337,0,0,510,44,0,0,0,225,273,146,75,45,0,0,5,0,48,13,0,0,16,0,0,0,0,9,8,5,3,3,0,0,,1963
arnetja01,63,662,238,0,0,62,68,0,0,0,125,245,91,75,56,0,0,1,0,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,,1964
bayloel01,74,3056,2009,0,0,950,280,0,0,0,235,1903,763,610,483,0,0,1,0,5,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,,1964
embrywa01,74,2243,943,0,0,741,92,0,0,0,297,772,352,371,239,0,0,4,0,123,51,0,0,25,8,0,0,0,20,48,21,11,9,0,0,,1964
ferrybo01,77,1280,408,0,0,355,60,0,0,0,156,338,143,199,122,0,0,10,0,67,16,0,0,19,8,0,0,0,8,16,7,9,2,0,0,,1964
havlijo01,75,2169,1375,0,0,371,199,0,0,0,200,1420,570,316,235,0,0,12,0,405,222,0,0,88,29,0,0,0,44,250,88,55,46,0,0,,1964
kerrjo01,80,1810,654,0,0,551,197,0,0,0,132,714,264,181,126,0,0,11,0,181,63,0,0,38,28,0,0,0,20,67,24,21,15,0,0,,1964
lucasje01,66,2864,1414,0,0,1321,157,0,0,0,214,1121,558,366,298,0,0,4,0,195,93,0,0,84,9,0,0,0,12,75,38,22,17,0,0,,1964
meschto01,79,2408,1000,0,0,655,106,0,0,0,279,917,361,370,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1964
mullije01,44,492,215,0,0,102,44,0,0,0,60,209,87,61,41,0,0,2,0,11,8,0,0,6,1,0,0,0,0,8,4,0,0,0,0,,1964
neumapa01,40,1100,574,0,0,102,139,0,0,0,119,434,213,184,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1964
neumapa01,36,934,390,0,0,96,94,0,0,0,99,338,152,119,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1964
sandeto01,80,2459,941,0,0,661,92,0,0,0,318,871,374,259,193,0,0,12,0,365,159,0,0,102,19,0,0,0,58,152,64,43,31,0,0,,1964
westje01,74,3066,2292,0,0,447,364,0,0,0,221,1655,822,789,648,0,0,11,0,470,447,0,0,63,58,0,0,0,37,351,155,154,137,0,0,,1964
wileyge01,80,2002,406,0,0,690,105,0,0,0,235,376,175,111,56,0,0,11,0,379,77,0,0,158,23,0,0,0,41,59,33,19,11,0,0,,1964
arnetja01,3,14,2,0,0,0,0,0,0,0,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1965
bayloel01,65,1975,1079,0,0,621,224,0,0,0,157,1034,415,337,249,0,0,14,0,586,375,0,0,197,52,0,0,0,38,328,145,105,85,0,0,,1965
embrywa01,80,1882,605,0,0,525,81,0,0,0,287,564,232,234,141,0,0,5,0,139,39,0,0,34,2,0,0,0,23,38,16,12,7,0,0,,1965
faircjo01,30,171,60,0,0,45,11,0,0,0,33,89,23,20,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1965
ferrybo01,66,1229,481,0,0,334,111,0,0,0,134,457,188,157,105,0,0,3,0,82,31,0,0,25,3,0,0,0,10,20,11,13,9,0,0,,1965
havlijo01,71,2175,1334,0,0,423,210,0,0,0,158,1328,530,349,274,0,0,17,0,719,401,0,0,154,70,0,0,0,69,374,153,113,95,0,0,,1965
kerrjo01,71,1770,781,0,0,586,225,0,0,0,148,692,286,272,209,0,0,3,0,49,5,0,0,17,4,0,0,0,5,11,2,2,1,0,0,,1965
lucasje01,79,3517,1697,0,0,1668,213,0,0,0,274,1523,690,403,317,0,0,5,0,231,107,0,0,101,14,0,0,0,14,85,40,35,27,0,0,,1965
meschto01,80,2383,1026,0,0,716,81,0,0,0,285,895,401,293,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1965
